0.0000 0.1600 0.0269
0.0000 0.1800 0.0298
0.0000 0.2000 0.0334
0.0000 0.2200 0.0376
0.0000 0.2400 0.0422
0.0000 0.2600 0.0474
0.0000 0.2800 0.0529
0.0000 0.3000 0.0589
0.0000 0.3200 0.0652
0.0000 0.3400 0.0719
0.0000 0.3600 0.0791
0.0000 0.3800 0.0866
0.0000 0.4000 0.0944
0.0000 0.4200 0.1027
0.0000 0.4400 0.1113
0.0000 0.4600 0.1203
0.0000 0.4800 0.1297
0.0000 0.5000 0.1394
0.0000 0.5200 0.1495
0.0000 0.5400 0.1600
0.0000 0.5600 0.1708
0.0000 0.5800 0.1820
0.2000 0.1600 0.0269
0.2000 0.1800 0.0298
0.2000 0.2000 0.0334
0.2000 0.2200 0.0376
0.2000 0.2400 0.0422
0.2000 0.2600 0.0474
0.2000 0.2800 0.0529
0.2000 0.3000 0.0589
0.2000 0.3200 0.0652
0.2000 0.3400 0.0719
0.2000 0.3600 0.0791
0.2000 0.3800 0.0866
0.2000 0.4000 0.0944
0.2000 0.4200 0.1027
0.2000 0.4400 0.1113
0.2000 0.4600 0.1203
0.2000 0.4800 0.1297
0.2000 0.5000 0.1394
0.2000 0.5200 0.1495
0.2000 0.5400 0.1600
0.2000 0.5600 0.1708
0.2000 0.5800 0.1820
0.4000 0.1600 0.0269
0.4000 0.1800 0.0297
0.4000 0.2000 0.0334
0.4000 0.2200 0.0375
0.4000 0.2400 0.0422
0.4000 0.2600 0.0473
0.4000 0.2800 0.0529
0.4000 0.3000 0.0588
0.4000 0.3200 0.0652
0.4000 0.3400 0.0719
0.4000 0.3600 0.0790
0.4000 0.3800 0.0865
0.4000 0.4000 0.0944
0.4000 0.4200 0.1027
0.4000 0.4400 0.1113
0.4000 0.4600 0.1203
0.4000 0.4800 0.1296
0.4000 0.5000 0.1394
0.4000 0.5200 0.1495
0.4000 0.5400 0.1599
0.4000 0.5600 0.1708
0.4000 0.5800 0.1820
0.6000 0.1600 0.0268
0.6000 0.1800 0.0297
0.6000 0.2000 0.0333
0.6000 0.2200 0.0375
0.6000 0.2400 0.0422
0.6000 0.2600 0.0473
0.6000 0.2800 0.0529
0.6000 0.3000 0.0588
0.6000 0.3200 0.0652
0.6000 0.3400 0.0719
0.6000 0.3600 0.0790
0.6000 0.3800 0.0865
0.6000 0.4000 0.0944
0.6000 0.4200 0.1026
0.6000 0.4400 0.1113
0.6000 0.4600 0.1202
0.6000 0.4800 0.1296
0.6000 0.5000 0.1393
0.6000 0.5200 0.1494
0.6000 0.5400 0.1599
0.6000 0.5600 0.1708
0.6000 0.5800 0.1820
0.8000 0.1600 0.0268
0.8000 0.1800 0.0296
0.8000 0.2000 0.0333
0.8000 0.2200 0.0375
0.8000 0.2400 0.0421
0.8000 0.2600 0.0473
0.8000 0.2800 0.0528
0.8000 0.3000 0.0588
