A(T,p)/A(T,0) for bottom quarks 
p       T=0.2   T=0.3   T=0.4
0.	1.	1.	1.
0.5	0.997793	0.997629	0.997568
1.	0.991495	0.990869	0.990637
1.5	0.981438	0.98009	0.979593
2.	0.96813	0.965854	0.965025
2.5	0.952163	0.948818	0.947614
3.	0.93415	0.929656	0.92806
3.5	0.914695	0.909023	0.90704
4.	0.894226	0.887395	0.885043
4.5	0.87323	0.865289	0.862597
5.	0.852089	0.843105	0.840109
5.5	0.830997	0.821056	0.817792
6.	0.810189	0.799376	0.79588
6.5	0.789801	0.778209	0.774518
7.	0.76993	0.757644	0.753792
7.5	0.750655	0.737762	0.733779
8.	0.732002	0.718579	0.714492
8.5	0.714011	0.700131	0.695964
9.	0.69667	0.682399	0.678173
9.5	0.679983	0.665381	0.661115
10.	0.663951	0.649073	0.644783
10.5	0.648506	0.633396	0.629096
11.	0.633645	0.618346	0.614046
11.5	0.619353	0.603901	0.599613
12.	0.605617	0.590048	0.585779
12.5	0.592428	0.576773	0.57253
13.	0.579777	0.564064	0.559855
13.5	0.567655	0.551912	0.547742
14.	0.556057	0.540308	0.536183
14.5	0.544978	0.529247	0.52517
15.	0.534408	0.518717	0.514694
15.5	0.524123	0.508471	0.5045
16.	0.514195	0.498596	0.494678
16.5	0.504606	0.489069	0.485207
17.	0.495339	0.479874	0.476068
17.5	0.486378	0.470992	0.467244
18.	0.47771	0.462411	0.458721
18.5	0.469323	0.454117	0.450486
19.	0.461206	0.446099	0.442527
19.5	0.45335	0.438346	0.434832
20.	0.445748	0.430851	0.427396
