A(T,p)/A(T,0) for charm quarks 
p       T=0.2   T=0.3   T=0.4
0.	1.	1.	1.
0.5	0.972269	0.969264	0.96754
1.	0.910079	0.90117	0.896236
1.5	0.836438	0.821838	0.814047
2.	0.765513	0.746784	0.737142
2.5	0.702072	0.68077	0.670154
3.	0.646734	0.624023	0.613028
3.5	0.598651	0.575334	0.564326
4.	0.557063	0.533616	0.522818
4.5	0.520724	0.497492	0.487018
5.	0.48865	0.465831	0.455744
5.5	0.46038	0.438094	0.428422
6.	0.435163	0.413478	0.404229
6.5	0.41263	0.391577	0.382742
7.	0.392322	0.371913	0.363479
7.5	0.373972	0.354199	0.346147
8.	0.35728	0.338132	0.330443
8.5	0.342054	0.323511	0.316166
9.	0.328093	0.310134	0.303113
9.5	0.315251	0.297852	0.291137
10.	0.303409	0.286547	0.280119
10.5	0.292419	0.276072	0.269915
11.	0.2822	0.266346	0.260444
11.5	0.272676	0.257292	0.25163
12.	0.263782	0.248847	0.243411
12.5	0.255466	0.240958	0.235734
13.	0.247681	0.233578	0.228553
13.5	0.240389	0.22667	0.221831
14.	0.233557	0.220201	0.215535
14.5	0.227157	0.214142	0.209636
15.	0.221161	0.208466	0.204108
15.5	0.215407	0.203026	0.198816
16.	0.209948	0.197869	0.193799
16.5	0.20476	0.19297	0.189034
17.	0.199823	0.188311	0.184501
17.5	0.195119	0.183873	0.180184
18.	0.190631	0.179642	0.176068
18.5	0.186344	0.175602	0.172138
19.	0.182247	0.171741	0.168382
19.5	0.178326	0.168049	0.16479
20.	0.174573	0.164515	0.161352

