    T(GeV)          p(GeV)     A(p,T)(1/fm)
  0.1800000       24.00000      2.0866377E-02
  0.1800000       24.20000      2.0781232E-02
  0.1800000       24.40000      2.0697445E-02
  0.1800000       24.60000      2.0615023E-02
  0.1800000       24.80000      2.0533910E-02
  0.1800000       25.00000      2.0454064E-02
  0.1800000       25.20000      2.0375481E-02
  0.1800000       25.40000      2.0298094E-02
  0.1800000       25.60000      2.0221880E-02
  0.1800000       25.80000      2.0146836E-02
  0.1800000       26.00000      2.0072930E-02
  0.1800000       26.20000      2.0000093E-02
  0.1800000       26.40000      1.9928345E-02
  0.1800000       26.60000      1.9857630E-02
  0.1800000       26.80000      1.9787945E-02
  0.1800000       27.00000      1.9719260E-02
  0.1800000       27.20000      1.9651555E-02
  0.1800000       27.40000      1.9584794E-02
  0.1800000       27.60000      1.9518953E-02
  0.1800000       27.80000      1.9454034E-02
  0.1800000       28.00000      1.9390004E-02
  0.1800000       28.20000      1.9326836E-02
  0.1800000       28.40000      1.9264523E-02
  0.1800000       28.60000      1.9203048E-02
  0.1800000       28.80000      1.9142374E-02
  0.1800000       29.00000      1.9082511E-02
  0.1800000       29.20000      1.9023426E-02
  0.1800000       29.40000      1.8965079E-02
  0.1800000       29.60000      1.8907502E-02
  0.1800000       29.80000      1.8850647E-02
  0.1800000       30.00000      1.8794511E-02
  0.2000000      0.0000000E+00  0.2123056    
  0.2000000      0.2000000      0.2111983    
  0.2000000      0.4000000      0.2106215    
  0.2000000      0.6000000      0.2075437    
  0.2000000      0.8000000      0.1997272    
  0.2000000       1.000000      0.1920397    
  0.2000000       1.200000      0.1848277    
  0.2000000       1.400000      0.1771779    
  0.2000000       1.600000      0.1694834    
  0.2000000       1.800000      0.1618860    
  0.2000000       2.000000      0.1544432    
  0.2000000       2.200000      0.1472860    
  0.2000000       2.400000      0.1405110    
  0.2000000       2.600000      0.1341413    
  0.2000000       2.800000      0.1281706    
  0.2000000       3.000000      0.1225790    
  0.2000000       3.200000      0.1173583    
  0.2000000       3.400000      0.1124909    
  0.2000000       3.600000      0.1079633    
  0.2000000       3.800000      0.1037450    
  0.2000000       4.000000      9.9816643E-02
  0.2000000       4.200000      9.6153669E-02
  0.2000000       4.400000      9.2736229E-02
  0.2000000       4.600000      8.9539446E-02
  0.2000000       4.800000      8.6551905E-02
  0.2000000       5.000000      8.3755538E-02
  0.2000000       5.200000      8.1130184E-02
  0.2000000       5.400000      7.8667775E-02
  0.2000000       5.600000      7.6353244E-02
  0.2000000       5.800000      7.4172221E-02
  0.2000000       6.000000      7.2116911E-02
  0.2000000       6.200000      7.0175223E-02
  0.2000000       6.400000      6.8339325E-02
  0.2000000       6.600000      6.6602677E-02
  0.2000000       6.800000      6.4956158E-02
  0.2000000       7.000000      6.3393340E-02
  0.2000000       7.200000      6.1908904E-02
  0.2000000       7.400000      6.0497060E-02
  0.2000000       7.600000      5.9152067E-02
  0.2000000       7.800000      5.7870004E-02
  0.2000000       8.000000      5.6646790E-02
  0.2000000       8.200000      5.5477988E-02
  0.2000000       8.400001      5.4359835E-02
  0.2000000       8.600000      5.3289831E-02
  0.2000000       8.800000      5.2264981E-02
  0.2000000       9.000000      5.1281460E-02
  0.2000000       9.200000      5.0339133E-02
  0.2000000       9.400001      4.9434081E-02
  0.2000000       9.600000      4.8562620E-02
  0.2000000       9.800000      4.7723942E-02
  0.2000000       10.00000      4.6929702E-02
  0.2000000       10.20000      4.6176288E-02
