	R_AA^Q (T_H)			v2^Q (T_H)
0.5	0.985883716		0.5	0.01384
1.5	0.966441307		1.5	0.08347
2.5	0.689388663		2.5	0.12196
3.5	0.477620167		3.5	0.10652
4.5	0.378515531		4.5	0.06756
5.5	0.322856442		5.5	0.06371
6.5	0.315101016		6.5	0.06293
7.5	0.311845468		7.5	0.07459
8.5	0.299260739		8.5	0.02681
9.5	0.292765685		9.5	0.06872
10.5	0.289891945		10.5	-0.00588
11.5	0.319275687		11.5	0.09984
12.5	0.324967512		12.5	0.08032
13.5	0.244752018		13.5	-0.01834
14.5	0.304980021		14.5	-0.00368
15.5	0.226856564		15.5	0.06842
16.5	0.337483999		16.5	-0.05523
17.5	0.380766815		17.5	-0.03355
18.5	0.337256784		18.5	0.17499
19.5	0.326839539		19.5	0.16912
