0.75 0.28365319
0.85 0.36813013
0.95 0.37466573
1.05 0.44054786
1.15 0.55521669
1.3 0.61596897
1.5 0.72097109
1.7 0.87019614
1.9 0.95159444
2.1 1.029137
2.3 1.0792158
2.8 1.2463348
3.6 1.3717243
4.4 1.444061
5.2 1.3883821
6 1.3057616
6.8 1.2559325
8.4 1.1994675
10.8 1.1885861
13.2 1.127451
16.8 1.1157306
21.6 1.1074178
26.4 1.1238028
32 1.0962114
38.4 1.0998589
44.8 1.098144
54.4 1.0883307
67.2 1.0722112
80 1.0452034
95 1.0308627
112.2 1.0178297
130.4 0.9827365
152.5 0.89329198
207.5 0.77343652

